frame num,person id,bb_xmin,bb_ymin,bb_height,bb_width,age_min,age_max,age_actual,gender
0,1,588,6,32,50,37,41,40,M
1,1,585,6,31,48,40,44,44,M
2,1,582,4,31,50,40,44,43,M
3,1,582,4,33,52,44,49,47,M
4,1,585,4,34,52,34,36,36,M
5,1,587,4,33,52,35,38,37,M
6,1,590,2,34,53,33,34,35,M
7,1,594,1,32,50,37,41,40,M
8,1,598,1,32,50,33,34,35,M
11,5,679,333,89,101,27,29,29,M
11,6,588,120,43,62,34,35,35,M
12,6,568,125,46,67,20,24,24,M
13,6,537,125,48,69,15,23,21,M
14,9,6,176,28,77,41,46,45,M
15,9,14,175,28,75,34,35,35,M
16,9,22,172,28,72,33,35,35,M
17,9,24,171,29,72,33,34,35,M
17,13,236,409,90,116,30,32,32,M
17,14,414,145,49,76,24,25,26,M
18,9,33,164,30,69,33,34,35,M
18,14,421,150,45,70,37,39,40,M
19,9,48,158,31,67,31,33,33,M
19,14,433,159,38,59,31,34,34,M
20,9,70,156,33,67,31,34,34,M
20,14,437,169,37,57,26,27,28,M
21,9,101,152,37,71,41,46,45,M
21,14,438,172,37,57,25,26,26,M
22,9,133,147,38,70,35,38,38,M
22,14,444,175,38,58,28,30,30,M
23,9,143,145,40,69,37,41,40,M
23,14,445,176,39,58,38,41,40,M
23,26,647,237,90,106,30,33,32,M
23,27,178,178,55,72,34,37,36,M
24,9,161,138,43,72,33,34,35,M
24,14,457,182,40,60,35,38,38,M
25,9,184,135,43,71,31,34,34,M
26,9,209,130,44,68,30,33,32,M
26,30,76,150,62,76,27,29,29,M
27,9,239,122,45,68,29,31,32,M
27,30,92,148,66,81,30,33,32,M
27,14,465,196,40,60,25,25,26,M
28,9,274,119,45,67,37,39,39,M
28,30,107,146,66,82,27,29,29,M
28,14,472,202,42,62,28,29,30,M
29,9,286,118,46,67,33,34,35,M
29,30,111,145,67,82,27,29,29,M
29,14,474,204,42,62,28,29,30,M
29,35,325,276,88,107,31,33,32,M
29,36,572,3,40,60,36,39,39,M
30,9,314,117,50,70,32,34,35,M
30,30,125,138,65,80,28,29,30,M
30,14,483,207,42,62,31,33,33,M
30,35,296,287,92,110,30,32,32,M
30,36,574,2,35,54,34,36,36,M
31,9,349,110,49,68,31,34,34,M
31,30,149,133,65,80,25,27,27,M
31,14,485,209,42,62,28,30,30,M
31,35,270,300,95,115,30,33,32,M
31,36,575,1,34,52,37,41,40,M
32,9,379,105,48,67,35,38,37,M
32,30,182,130,65,82,25,27,27,M
32,14,475,212,44,66,29,31,31,M
32,35,234,321,95,115,29,31,32,M
32,36,575,2,36,54,23,25,25,M
33,9,405,103,48,66,29,31,31,M
33,30,215,127,63,79,28,30,30,M
33,35,177,350,95,115,31,34,33,M
34,9,427,98,49,65,31,34,34,F
